unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1616608800000,2021-03-24 18:00:00,BTC/USD,56150.0,56353.98,55325.54,55333.72,61.6974901715,3413951.645852533
1616605200000,2021-03-24 17:00:00,BTC/USD,55746.98,56367.01,55572.22,56150.0,90.0126235908,5054208.81462342
1616601600000,2021-03-24 16:00:00,BTC/USD,56249.15,56382.97,55711.66,55746.98,86.9902338163,4849442.8247526
1616598000000,2021-03-24 15:00:00,BTC/USD,56493.68,56745.4,56000.0,56249.15,260.7635316736,14667727.00763808
1616594400000,2021-03-24 14:00:00,BTC/USD,56809.64,56940.69,56459.18,56493.68,153.6856041385,8682265.340807095
1616590800000,2021-03-24 13:00:00,BTC/USD,56960.55,57245.0,56400.01,56809.64,118.1221795995,6710478.49906294
1616587200000,2021-03-24 12:00:00,BTC/USD,56582.58,57061.85,56582.58,56960.55,56.0849801824,3194631.317928605
1616583600000,2021-03-24 11:00:00,BTC/USD,56470.16,56588.18,56287.47,56582.58,21.3884050621,1210211.1404986782
1616580000000,2021-03-24 10:00:00,BTC/USD,56397.02,56573.31,56027.61,56470.16,48.712027696,2750775.9979175515
1616576400000,2021-03-24 09:00:00,BTC/USD,56311.66,56642.0,56311.66,56397.02,81.1124864691,4574502.521647562
1616572800000,2021-03-24 08:00:00,BTC/USD,55516.34,56350.0,55515.07,56311.66,86.5309783883,4872703.034469298
1616569200000,2021-03-24 07:00:00,BTC/USD,54677.71,55634.37,54646.77,55516.34,53.9241364456,2993670.693120321
1616565600000,2021-03-24 06:00:00,BTC/USD,54161.37,54973.12,53752.08,54677.71,46.6457414864,2550482.325728348
1616562000000,2021-03-24 05:00:00,BTC/USD,54125.59,54293.12,53771.6,54161.37,50.0183041183,2709059.87612377
1616558400000,2021-03-24 04:00:00,BTC/USD,54375.12,54564.85,54000.0,54125.59,40.8404765962,2210514.8916505165
1616554800000,2021-03-24 03:00:00,BTC/USD,54420.71,54750.01,54036.55,54375.12,122.3991876827,6655470.518149335
1616551200000,2021-03-24 02:00:00,BTC/USD,54474.19,54635.91,54327.45,54420.71,57.8050901228,3145794.046096763
1616547600000,2021-03-24 01:00:00,BTC/USD,53720.33,54582.21,53535.0,54474.19,26.0351400942,1418243.1681680686
1616544000000,2021-03-24 00:00:00,BTC/USD,54399.92,54685.7,53570.85,53720.33,50.7892269034,2728414.029695526
1616540400000,2021-03-23 23:00:00,BTC/USD,54379.72,54830.21,54326.17,54399.92,39.9437234461,2172935.3599699643
1616536800000,2021-03-23 22:00:00,BTC/USD,54662.78,54900.38,54371.8,54379.72,35.4697105663,1928832.9290764355
1616533200000,2021-03-23 21:00:00,BTC/USD,54465.2,54754.42,54200.0,54662.78,34.972336613,1911685.1423623643
1616529600000,2021-03-23 20:00:00,BTC/USD,55018.73,55086.31,54333.34,54465.2,67.7458017441,3689788.6411527554
1616526000000,2021-03-23 19:00:00,BTC/USD,55378.43,55558.63,54814.09,55018.73,120.5647418419,6633318.9789192
1616522400000,2021-03-23 18:00:00,BTC/USD,55742.14,55903.62,55351.86,55378.43,109.6038543234,6069689.374378604
1616518800000,2021-03-23 17:00:00,BTC/USD,55555.5,55799.4,55441.34,55742.14,75.8761463594,4229498.773026165
1616515200000,2021-03-23 16:00:00,BTC/USD,55182.77,55825.0,54876.33,55555.5,140.9064700572,7828129.397262775
1616511600000,2021-03-23 15:00:00,BTC/USD,55191.01,55335.65,54980.64,55182.77,56.3803051905,3111221.4138571676
1616508000000,2021-03-23 14:00:00,BTC/USD,55278.77,55375.73,54664.38,55191.01,233.6761880165,12896824.829580532
1616504400000,2021-03-23 13:00:00,BTC/USD,55131.7,55460.2,55048.5,55278.77,152.2622098723,8416867.6792226
